s,m/s,,s
Time,error,iter,cputime
 7.601E+00, 9.902E-05, 1.225E+02, 8.114E+03
 7.620E+00, 9.889E-05, 1.218E+02, 8.137E+03
 7.641E+00, 9.908E-05, 1.198E+02, 8.159E+03
 7.661E+00, 9.899E-05, 1.198E+02, 8.183E+03
 7.681E+00, 9.896E-05, 1.238E+02, 8.207E+03
 7.700E+00, 9.911E-05, 1.392E+02, 8.231E+03
 7.721E+00, 9.911E-05, 1.380E+02, 8.255E+03
 7.740E+00, 9.910E-05, 1.293E+02, 8.277E+03
 7.761E+00, 9.879E-05, 1.263E+02, 8.300E+03
 7.780E+00, 9.884E-05, 1.289E+02, 8.322E+03
 7.801E+00, 9.889E-05, 1.368E+02, 8.344E+03
 7.821E+00, 9.920E-05, 1.305E+02, 8.368E+03
 7.841E+00, 9.874E-05, 1.320E+02, 8.394E+03
 7.861E+00, 9.889E-05, 1.295E+02, 8.420E+03
 7.880E+00, 9.910E-05, 1.335E+02, 8.445E+03
 7.901E+00, 9.892E-05, 1.335E+02, 8.467E+03
 7.921E+00, 9.923E-05, 1.464E+02, 8.490E+03
 7.940E+00, 9.895E-05, 1.286E+02, 8.512E+03
 7.960E+00, 9.885E-05, 1.223E+02, 8.533E+03
 7.981E+00, 9.891E-05, 1.361E+02, 8.557E+03
 8.000E+00, 9.905E-05, 1.196E+02, 8.582E+03
 8.020E+00, 9.896E-05, 1.167E+02, 8.604E+03
 8.041E+00, 9.888E-05, 1.300E+02, 8.627E+03
 8.060E+00, 9.906E-05, 1.289E+02, 8.652E+03
 8.081E+00, 9.914E-05, 1.158E+02, 8.676E+03
 8.101E+00, 9.885E-05, 1.147E+02, 8.699E+03
 8.120E+00, 9.882E-05, 1.128E+02, 8.721E+03
 8.140E+00, 9.900E-05, 1.251E+02, 8.743E+03
 8.161E+00, 9.915E-05, 1.272E+02, 8.767E+03
 8.181E+00, 9.868E-05, 1.238E+02, 8.797E+03
 8.201E+00, 9.883E-05, 1.129E+02, 8.827E+03
 8.220E+00, 9.910E-05, 1.252E+02, 8.857E+03
 8.240E+00, 9.901E-05, 1.153E+02, 8.887E+03
 8.261E+00, 9.916E-05, 1.316E+02, 8.918E+03
 8.281E+00, 9.899E-05, 1.203E+02, 8.950E+03
 8.300E+00, 9.886E-05, 1.299E+02, 8.980E+03
 8.321E+00, 9.917E-05, 1.193E+02, 9.011E+03
 8.341E+00, 9.882E-05, 1.207E+02, 9.040E+03
 8.361E+00, 9.923E-05, 1.200E+02, 9.068E+03
 8.381E+00, 9.883E-05, 1.255E+02, 9.096E+03
 8.401E+00, 9.912E-05, 1.238E+02, 9.125E+03
 8.421E+00, 9.870E-05, 1.197E+02, 9.155E+03
 8.441E+00, 9.925E-05, 1.393E+02, 9.185E+03
 8.461E+00, 9.875E-05, 1.257E+02, 9.214E+03
 8.481E+00, 9.902E-05, 1.542E+02, 9.246E+03
 8.501E+00, 9.853E-05, 1.358E+02, 9.278E+03
 8.521E+00, 9.905E-05, 1.269E+02, 9.308E+03
 8.540E+00, 9.890E-05, 1.282E+02, 9.340E+03
 8.560E+00, 9.896E-05, 1.264E+02, 9.371E+03
 8.581E+00, 9.884E-05, 1.171E+02, 9.401E+03
 8.600E+00, 9.914E-05, 1.348E+02, 9.431E+03
 8.621E+00, 9.874E-05, 1.227E+02, 9.462E+03
