s,Pa,m/s,,s
Time,"pres","error","iter","cpu"
 4.5834427E-001, 4.7232434E-002, 9.8903477E-006, 4.3333333E+000, 8.1199682E+002
 4.6067327E-001, 4.7088939E-002, 9.9223092E-006, 3.6666667E+000, 8.1503307E+002
 4.6222594E-001, 4.6979595E-002, 9.9614100E-006, 3.5000000E+000, 8.1755971E+002
 4.6455494E-001, 4.6886473E-002, 9.9335327E-006, 4.6666667E+000, 8.2036048E+002
 4.6610761E-001, 4.6880284E-002, 9.9771085E-006, 9.0000000E+000, 8.2385582E+002
 4.6843661E-001, 4.6889684E-002, 9.9755791E-006, 9.6666667E+000, 8.2798441E+002
 4.7076561E-001, 4.6813448E-002, 9.9448445E-006, 7.0000000E+000, 8.3246174E+002
 4.7231828E-001, 4.6698890E-002, 9.9525646E-006, 4.5000000E+000, 8.3553991E+002
 4.7464728E-001, 4.6574403E-002, 9.9441510E-006, 3.6666667E+000, 8.3842042E+002
 4.7619995E-001, 4.6483352E-002, 9.9467042E-006, 5.0000000E+000, 8.4119436E+002
 4.7852895E-001, 4.6360882E-002, 9.9130651E-006, 3.3333333E+000, 8.4373044E+002
 4.8008162E-001, 4.6246028E-002, 9.9516221E-006, 3.5000000E+000, 8.4620144E+002
 4.8241062E-001, 4.6139609E-002, 9.9400323E-006, 4.3333333E+000, 8.4873756E+002
 4.8458342E-001, 4.6106008E-002, 9.9733787E-006, 7.2854062E+000, 8.5298367E+002
 4.8667811E-001, 4.6114154E-002, 9.9611438E-006, 8.3333333E+000, 8.5766397E+002
 4.8807457E-001, 4.6070121E-002, 9.9654517E-006, 7.0000000E+000, 8.6114950E+002
 4.9016927E-001, 4.5983924E-002, 9.9668840E-006, 4.6666667E+000, 8.6457860E+002
 4.9226397E-001, 4.5855076E-002, 9.8669110E-006, 3.6666667E+000, 8.6821744E+002
 4.9435866E-001, 4.5735616E-002, 9.9125069E-006, 3.6666667E+000, 8.7128763E+002
 4.9645336E-001, 4.5613248E-002, 9.9318961E-006, 2.6666667E+000, 8.7421115E+002
 4.9854805E-001, 4.5484035E-002, 9.9097300E-006, 3.0000000E+000, 8.7710690E+002
 5.0064275E-001, 4.5363730E-002, 9.9048184E-006, 3.6666667E+000, 8.7988722E+002
 5.0203921E-001, 4.5306404E-002, 9.9872655E-006, 5.5000000E+000, 8.8275957E+002
 5.0413391E-001, 4.5309855E-002, 9.9644193E-006, 8.3333333E+000, 8.8663185E+002
 5.0622860E-001, 4.5291037E-002, 9.9664295E-006, 7.6666667E+000, 8.9148207E+002
 5.0832330E-001, 4.5208262E-002, 9.9450433E-006, 5.3333333E+000, 8.9558912E+002
 5.1041799E-001, 4.5086903E-002, 9.9583938E-006, 3.6666667E+000, 8.9864529E+002
 5.1251269E-001, 4.4966734E-002, 9.9613200E-006, 3.6666667E+000, 9.0177904E+002
 5.1460738E-001, 4.4847418E-002, 9.9668956E-006, 3.0000000E+000, 9.0468944E+002
 5.1600385E-001, 4.4735605E-002, 9.8906603E-006, 3.0000000E+000, 9.0697664E+002
 5.1809854E-001, 4.4628090E-002, 9.9195081E-006, 3.0000000E+000, 9.0930781E+002
 5.2019324E-001, 4.4536130E-002, 9.8893130E-006, 5.3333333E+000, 9.1258560E+002
 5.2228794E-001, 4.4518347E-002, 9.9639847E-006, 7.6666667E+000, 9.1705934E+002
 5.2438263E-001, 4.4505056E-002, 9.9827115E-006, 7.6666667E+000, 9.2173465E+002
 5.2647733E-001, 4.4424659E-002, 9.9816144E-006, 5.6666667E+000, 9.2579925E+002
 5.2857202E-001, 4.4307384E-002, 9.9296264E-006, 4.0000000E+000, 9.2918130E+002
 5.3066672E-001, 4.4181992E-002, 9.9390337E-006, 3.3333333E+000, 9.3217457E+002
 5.3206318E-001, 4.4089485E-002, 9.9642536E-006, 3.0000000E+000, 9.3473140E+002
 5.3415788E-001, 4.3979026E-002, 9.9652281E-006, 3.3333333E+000, 9.3708658E+002
 5.3625257E-001, 4.3848414E-002, 9.9042564E-006, 3.0000000E+000, 9.4002703E+002
 5.3834727E-001, 4.3753251E-002, 9.8856695E-006, 5.3333333E+000, 9.4372088E+002
 5.4044196E-001, 4.3734251E-002, 9.9449376E-006, 7.6666667E+000, 9.4776761E+002
 5.4253666E-001, 4.3716558E-002, 9.9631230E-006, 7.6666667E+000, 9.5216411E+002
 5.4463135E-001, 4.3637575E-002, 9.9549089E-006, 5.6666667E+000, 9.5617538E+002
 5.4602782E-001, 4.3540796E-002, 9.9286887E-006, 4.0000000E+000, 9.5911113E+002
 5.4812251E-001, 4.3426478E-002, 9.9094896E-006, 3.0000000E+000, 9.6191021E+002
